vectorSize,dotProdTime1,dotProdTime2,dotProdTime3,dotProdTime4,dotProdTime5,dotProdTime6,dotProdTime7,dotProdTime8,dotProdTime9,dotProdTime10,matrixSize,matMulTime1,matMulTime2,matMulTime3,matMulTime4,matMulTime5,matMulTime6,matMulTime7,matMulTime8,matMulTime9,matMulTime10
100000,1.6991e-5,1.3749e-5,1.3713e-5,1.3765e-5,1.3157e-5,1.369e-5,1.4181e-5,1.3637e-5,1.3624e-5,1.6433e-5,1000,0.000248867,0.000189845,0.000183572,0.00017252,0.000173963,0.000173348,0.000171776,0.000174954,0.000172621,0.000179386
200000,2.6928e-5,2.5922e-5,2.6212e-5,2.9973e-5,5.5612e-5,3.4875e-5,2.9725e-5,2.5664e-5,2.5516e-5,2.5527e-5,2000,0.001662924,0.00165316,0.001689512,0.001664913,0.001664373,0.001633273,0.001704289,0.001694745,0.001563169,0.001488886
300000,2.9308e-5,2.494e-5,2.4761e-5,2.4623e-5,2.4809e-5,2.4714e-5,2.4539e-5,2.4753e-5,2.4658e-5,2.4573e-5,3000,0.003255373,0.003292367,0.003374302,0.003372226,0.0033267,0.003367812,0.003344995,0.003416364,0.003419164,0.00337256
400000,0.000104932,6.5045e-5,5.2766e-5,4.7255e-5,4.5645e-5,4.3541e-5,4.2654e-5,4.1845e-5,4.1379e-5,4.0971e-5,4000,0.005679366,0.00571751,0.005737723,0.005917309,0.005923536,0.005878602,0.005824984,0.00590345,0.005833378,0.005848834
500000,4.9182e-5,4.0096e-5,4.0235e-5,3.9855e-5,4.0003e-5,3.9916e-5,3.9913e-5,3.9892e-5,4.0092e-5,3.9853e-5,5000,0.009164741,0.008976331,0.008957358,0.008976657,0.008866119,0.008960106,0.00890257,0.008960307,0.008939655,0.008997544
600000,6.2563e-5,4.8374e-5,4.8525e-5,4.8102e-5,4.8029e-5,4.8107e-5,4.789e-5,4.884e-5,5.5868e-5,4.9286e-5,6000,0.012728114,0.012767728,0.012729043,0.012659461,0.012746406,0.012916034,0.012961331,0.012795816,0.012739252,0.012761222
700000,8.2901e-5,6.0896e-5,5.957e-5,5.8379e-5,5.8081e-5,5.8353e-5,5.8297e-5,5.8342e-5,5.8571e-5,5.9229e-5,7000,0.017195328,0.017168713,0.017233273,0.01852357,0.019654125,0.019430801,0.019372305,0.019031323,0.019466164,0.019120774
800000,0.000156666,0.000129766,0.000119792,0.000119869,0.00012436,0.000115132,0.000118713,0.000117988,0.000133343,0.0001205,8000,0.026140201,0.023668162,0.022579563,0.022685231,0.023007676,0.022646329,0.022634849,0.022857141,0.022794901,0.023592169
900000,0.000265599,0.000191145,0.000150944,0.000139393,0.000133675,0.00013086,0.000128114,0.0001347,0.000137249,0.000137818,9000,0.031468082,0.031144548,0.031307559,0.031653845,0.03247263,0.031811951,0.032291904,0.033660243,0.033631651,0.032835108
1000000,0.0002778,0.000212639,0.000178162,0.000129814,0.000124668,0.000122195,0.000120735,0.00012096,0.000154366,0.000128442,10000,0.036472123,0.036504524,0.036913948,0.036453286,0.036962004,0.037685704,0.036638698,0.036353291,0.036771118,0.036511577
1100000,0.000316075,0.000218884,0.000191346,0.000178484,0.000170452,0.000181416,0.00015849,0.000154265,0.000150445,0.000144933,11000,0.044923588,0.045996056,0.044906863,0.044710381,0.045002406,0.044816831,0.047497591,0.047540908,0.047181879,0.048585942
1200000,0.000361151,0.000270701,0.000238372,0.000225884,0.000215719,0.000213559,0.000206479,0.000202296,0.000198411,0.000215815,12000,0.052534757,0.053480259,0.055278275,0.055067932,0.052618879,0.053154231,0.052771208,0.052027744,0.052792441,0.051972592
1300000,0.000460178,0.000388477,0.000359358,0.000366315,0.000374783,0.000386857,0.000364867,0.000318549,0.000300967,0.000307475,13000,0.062244757,0.061283573,0.063271263,0.06181328,0.063107281,0.065932252,0.061443811,0.061641919,0.062543947,0.061683512
1400000,0.000409688,0.000350002,0.00032229,0.00030983,0.000303416,0.000298224,0.000296779,0.000290503,0.000300808,0.000285264,14000,0.073358735,0.072686113,0.071957315,0.072795185,0.073619038,0.07630284,0.072092376,0.073942556,0.072257141,0.072640926
1500000,0.000491729,0.00042926,0.000387383,0.000372429,0.000355287,0.000373177,0.000357278,0.000380215,0.000364043,0.000338505,15000,0.082718742,0.083543483,0.086659425,0.085801936,0.084401554,0.086065481,0.087297652,0.083552984,0.083037079,0.083414967
1600000,0.000506652,0.000438335,0.000417662,0.000405809,0.000401099,0.000394201,0.000403836,0.000389102,0.00038437,0.00042811,16000,0.093811077,0.094413359,0.094220475,0.095051361,0.095788215,0.097120269,0.097906386,0.096255623,0.096084095,0.09558708
1700000,0.000573709,0.000523714,0.000530532,0.000505345,0.0004935,0.000490579,0.000482904,0.000483268,0.000475544,0.000487881,17000,0.105952393,0.106059122,0.10680886,0.109950036,0.112977967,0.107374089,0.112077255,0.109983602,0.106401025,0.105562694
1800000,0.000595811,0.000527497,0.000547761,0.000556757,0.000500666,0.00049011,0.000495647,0.000482526,0.000488077,0.000474839,18000,0.123326436,0.122673481,0.121746448,0.120954528,0.125415609,0.119748481,0.119820813,0.122828646,0.121492754,0.1244663
1900000,0.000837575,0.000736569,0.000867495,0.000728357,0.000807381,0.000758629,0.000788199,0.000780254,0.00078619,0.000747168,19000,0.134749966,0.13499464,0.147034087,0.158185273,0.156417561,0.161442131,0.136280767,0.133733124,0.133167568,0.134728021
2000000,0.000788896,0.00082848,0.000865571,0.000764258,0.000772549,0.000832984,0.000831877,0.000896117,0.000839326,0.000881415,20000,0.151124472,0.147650255,0.149466958,0.158083154,0.157596244,0.147851599,0.151452033,0.147495619,0.150034471,0.157303114
