size,operation,time
100000,dot product,0.000114041
100000,dot product,9.3557e-5
100000,dot product,1.9883e-5
100000,dot product,1.7935e-5
100000,dot product,1.6721e-5
100000,dot product,1.7152e-5
100000,dot product,1.6987e-5
100000,dot product,1.7279e-5
100000,dot product,1.6008e-5
100000,dot product,1.7131e-5
1000,matrix multiplication,0.001324588
1000,matrix multiplication,0.000317267
1000,matrix multiplication,0.000193591
1000,matrix multiplication,0.000171674
1000,matrix multiplication,0.000167523
1000,matrix multiplication,0.000165536
1000,matrix multiplication,0.000185743
1000,matrix multiplication,0.000174471
1000,matrix multiplication,0.000165726
1000,matrix multiplication,0.000163055
200000,dot product,0.000168522
200000,dot product,3.0538e-5
200000,dot product,2.6715e-5
200000,dot product,3.0287e-5
200000,dot product,2.5541e-5
200000,dot product,3.0176e-5
200000,dot product,2.5388e-5
200000,dot product,3.0166e-5
200000,dot product,2.5442e-5
200000,dot product,3.0228e-5
2000,matrix multiplication,0.002096209
2000,matrix multiplication,0.001728349
2000,matrix multiplication,0.001760988
2000,matrix multiplication,0.001740588
2000,matrix multiplication,0.001770051
2000,matrix multiplication,0.001761473
2000,matrix multiplication,0.001746958
2000,matrix multiplication,0.001837609
2000,matrix multiplication,0.001738906
2000,matrix multiplication,0.00176377
100000,dot product,3.134e-5
100000,dot product,1.6731e-5
100000,dot product,1.6881e-5
100000,dot product,1.702e-5
100000,dot product,1.68e-5
100000,dot product,1.6839e-5
100000,dot product,1.6145e-5
100000,dot product,1.4294e-5
100000,dot product,1.5931e-5
100000,dot product,1.6354e-5
1000,matrix multiplication,0.000266207
1000,matrix multiplication,0.000155986
1000,matrix multiplication,0.000144556
1000,matrix multiplication,0.000144402
1000,matrix multiplication,0.00014226
1000,matrix multiplication,0.000144299
1000,matrix multiplication,0.00015462
1000,matrix multiplication,0.000150658
1000,matrix multiplication,0.000143775
1000,matrix multiplication,0.000139349
200000,dot product,3.1146e-5
200000,dot product,3.0821e-5
200000,dot product,2.6334e-5
200000,dot product,3.1744e-5
200000,dot product,2.5657e-5
200000,dot product,3.0696e-5
200000,dot product,2.5839e-5
200000,dot product,2.9894e-5
200000,dot product,2.577e-5
