size,multiplication_type,time
100,naive,0.004957
100,better,0.004119
100,BLAS,0.000731
100,naive,0.003950
100,better,0.004151
100,BLAS,0.000800
100,naive,0.004386
100,better,0.004304
100,BLAS,0.000734
100,naive,0.003978
100,better,0.003947
100,BLAS,0.000716
100,naive,0.003906
100,better,0.003929
100,BLAS,0.000696
100,naive,0.003811
100,better,0.003924
100,BLAS,0.000716
100,naive,0.003867
100,better,0.003983
100,BLAS,0.000704
100,naive,0.003857
100,better,0.004162
100,BLAS,0.000714
100,naive,0.003832
100,better,0.003901
100,BLAS,0.000696
100,naive,0.003819
100,better,0.003901
100,BLAS,0.000700
120,naive,0.006609
120,better,0.006740
120,BLAS,0.001171
120,naive,0.006557
120,better,0.006793
120,BLAS,0.001171
120,naive,0.006746
120,better,0.006798
120,BLAS,0.001172
120,naive,0.006607
120,better,0.006739
120,BLAS,0.001172
120,naive,0.006561
120,better,0.006755
120,BLAS,0.001171
120,naive,0.006558
120,better,0.006803
120,BLAS,0.001172
120,naive,0.006564
120,better,0.006762
120,BLAS,0.001171
120,naive,0.006566
120,better,0.007534
120,BLAS,0.001171
120,naive,0.006629
120,better,0.006788
120,BLAS,0.001171
120,naive,0.006607
120,better,0.006737
120,BLAS,0.001171
140,naive,0.010941
140,better,0.010739
140,BLAS,0.001812
140,naive,0.010445
140,better,0.010716
140,BLAS,0.001813
140,naive,0.010448
140,better,0.011344
140,BLAS,0.001812
140,naive,0.010604
140,better,0.013906
140,BLAS,0.003213
140,naive,0.011685
140,better,0.011104
140,BLAS,0.001839
140,naive,0.010575
140,better,0.012033
140,BLAS,0.001887
140,naive,0.010587
140,better,0.010816
140,BLAS,0.001812
140,naive,0.010417
140,better,0.010897
140,BLAS,0.001802
140,naive,0.010428
140,better,0.010737
140,BLAS,0.001812
140,naive,0.010411
140,better,0.010741
140,BLAS,0.001823
160,naive,0.016739
160,better,0.016481
160,BLAS,0.002672
160,naive,0.016751
160,better,0.016481
160,BLAS,0.002693
160,naive,0.016751
160,better,0.016554
160,BLAS,0.002673
160,naive,0.016681
160,better,0.016582
160,BLAS,0.002675
160,naive,0.016698
160,better,0.016568
160,BLAS,0.002740
160,naive,0.016884
160,better,0.017824
160,BLAS,0.002853
160,naive,0.018328
160,better,0.018223
160,BLAS,0.003025
160,naive,0.017587
160,better,0.016614
160,BLAS,0.002692
160,naive,0.016743
160,better,0.016489
160,BLAS,0.002675
160,naive,0.016723
160,better,0.016551
160,BLAS,0.002675
180,naive,0.023185
180,better,0.023640
180,BLAS,0.003815
180,naive,0.023367
180,better,0.023740
180,BLAS,0.003777
180,naive,0.023073
180,better,0.023812
180,BLAS,0.003752
180,naive,0.023030
180,better,0.023622
180,BLAS,0.003756
180,naive,0.023138
180,better,0.023667
180,BLAS,0.003770
180,naive,0.023066
180,better,0.023721
180,BLAS,0.003750
180,naive,0.024127
180,better,0.025152
180,BLAS,0.004551
180,naive,0.025444
180,better,0.025241
180,BLAS,0.003986
180,naive,0.024360
180,better,0.025613
180,BLAS,0.004023
180,naive,0.028873
180,better,0.025964
180,BLAS,0.004125
200,naive,0.034080
200,better,0.033485
200,BLAS,0.005249
200,naive,0.033704
200,better,0.034331
200,BLAS,0.005401
200,naive,0.035251
200,better,0.035537
200,BLAS,0.005448
200,naive,0.033923
200,better,0.033992
200,BLAS,0.005432
200,naive,0.035088
200,better,0.035563
200,BLAS,0.005766
200,naive,0.035429
200,better,0.034015
200,BLAS,0.005324
200,naive,0.034110
200,better,0.034606
200,BLAS,0.005596
200,naive,0.043768
200,better,0.032700
200,BLAS,0.005169
200,naive,0.032435
200,better,0.032457
200,BLAS,0.005147
200,naive,0.032327
200,better,0.034019
200,BLAS,0.005361
220,naive,0.048101
220,better,0.046498
220,BLAS,0.007194
220,naive,0.045788
220,better,0.045269
220,BLAS,0.007142
220,naive,0.049417
220,better,0.046409
220,BLAS,0.007030
220,naive,0.047782
220,better,0.047253
220,BLAS,0.007040
220,naive,0.047963
220,better,0.047719
220,BLAS,0.007393
220,naive,0.048625
220,better,0.047271
220,BLAS,0.006827
220,naive,0.048834
220,better,0.045486
220,BLAS,0.007026
220,naive,0.046719
